"ZIP
code [1]",Size of adjusted gross income,Number of returns
10533,"$75,000 under $100,000",330
10533,"$100,000 under $200,000",750
10533,"$200,000 or more",1100
,,
10535,,420
10535,"$1 under $25,000",130
10535,"$25,000 under $50,000",100
10535,"$50,000 under $75,000",70
10535,"$75,000 under $100,000",40
10535,"$100,000 under $200,000",60
10535,"$200,000 or more",20
,,
10536,,"5,250"
10536,"$1 under $25,000",1360
10536,"$25,000 under $50,000",560
10536,"$50,000 under $75,000",430
10536,"$75,000 under $100,000",330
10536,"$100,000 under $200,000",1010
10536,"$200,000 or more",1560
,,
10537,,"1,250"
10537,"$1 under $25,000",360
10537,"$25,000 under $50,000",280
10537,"$50,000 under $75,000",190
10537,"$75,000 under $100,000",160
10537,"$100,000 under $200,000",220
10537,"$200,000 or more",40
,,
10538,,"8,050"
10538,"$1 under $25,000",1660
10538,"$25,000 under $50,000",760
10538,"$50,000 under $75,000",720
10538,"$75,000 under $100,000",530
10538,"$100,000 under $200,000",1310
10538,"$200,000 or more",3070
,,
10541,,"12,680"
10541,"$1 under $25,000",3480
10541,"$25,000 under $50,000",2020
10541,"$50,000 under $75,000",1590
10541,"$75,000 under $100,000",1300
10541,"$100,000 under $200,000",3170
10541,"$200,000 or more",1120
,,
10543,,"9,730"
10543,"$1 under $25,000",2730
10543,"$25,000 under $50,000",1570
10543,"$50,000 under $75,000",1190
10543,"$75,000 under $100,000",840
10543,"$100,000 under $200,000",1740
10543,"$200,000 or more",1660
,,
10546,,720
10546,"$1 under $25,000",160
10546,"$25,000 under $50,000",70
10546,"$50,000 under $75,000",60
10546,"$75,000 under $100,000",70
10546,"$100,000 under $200,000",160
10546,"$200,000 or more",200
,,
10547,,"3,680"
10547,"$1 under $25,000",1050
10547,"$25,000 under $50,000",660
10547,"$50,000 under $75,000",510
10547,"$75,000 under $100,000",360
10547,"$100,000 under $200,000",830
10547,"$200,000 or more",270
,,
10548,,"1,590"
10548,"$1 under $25,000",420
10548,"$25,000 under $50,000",270
10548,"$50,000 under $75,000",230
10548,"$75,000 under $100,000",170
10548,"$100,000 under $200,000",380
10548,"$200,000 or more",120
,,
10549,,"8,190"
10549,"$1 under $25,000",2620
10549,"$25,000 under $50,000",1420
10549,"$50,000 under $75,000",900
10549,"$75,000 under $100,000",580
10549,"$100,000 under $200,000",1210
10549,"$200,000 or more",1460
,,
10550,,"19,060"
10550,"$1 under $25,000",8570
10550,"$25,000 under $50,000",5550
10550,"$50,000 under $75,000",2600
10550,"$75,000 under $100,000",1200
10550,"$100,000 under $200,000",1070
10550,"$200,000 or more",70
,,
10552,,"10,910"
10552,"$1 under $25,000",3010
10552,"$25,000 under $50,000",2280
10552,"$50,000 under $75,000",1910
10552,"$75,000 under $100,000",1220
10552,"$100,000 under $200,000",1830
10552,"$200,000 or more",660
,,
10553,,"5,900"
10553,"$1 under $25,000",2110
10553,"$25,000 under $50,000",1640
10553,"$50,000 under $75,000",900
10553,"$75,000 under $100,000",520
10553,"$100,000 under $200,000",640
10553,"$200,000 or more",90
,,
10560,,"2,140"
10560,"$1 under $25,000",510
10560,"$25,000 under $50,000",300
10560,"$50,000 under $75,000",230
10560,"$75,000 under $100,000",190
10560,"$100,000 under $200,000",450
10560,"$200,000 or more",460
,,
10562,,"15,930"
10562,"$1 under $25,000",4890
10562,"$25,000 under $50,000",3250
10562,"$50,000 under $75,000",2170
10562,"$75,000 under $100,000",1520
10562,"$100,000 under $200,000",2760
10562,"$200,000 or more",1340
,,
10566,,"12,240"
10566,"$1 under $25,000",4480
10566,"$25,000 under $50,000",2940
10566,"$50,000 under $75,000",1750
10566,"$75,000 under $100,000",1090
10566,"$100,000 under $200,000",1630
10566,"$200,000 or more",350
,,
10567,,"9,810"
