"ZIP
code",Size of adjusted gross income,Number of returns
10523,"$1 under $25,000",1512
10523,"$25,000 under $50,000",1062
10523,"$50,000 under $75,000",657
10523,"$75,000 under $100,000",432
10523,"$100,000 under $200,000",673
10523,"$200,000 or more",163
,,
10524,,"2,068"
10524,"$1 under $25,000",561
10524,"$25,000 under $50,000",317
10524,"$50,000 under $75,000",253
10524,"$75,000 under $100,000",217
10524,"$100,000 under $200,000",479
10524,"$200,000 or more",241
,,
10526,,999
10526,"$1 under $25,000",299
10526,"$25,000 under $50,000",145
10526,"$50,000 under $75,000",103
10526,"$75,000 under $100,000",79
10526,"$100,000 under $200,000",196
10526,"$200,000 or more",177
,,
10527,,408
10527,"$1 under $25,000",96
10527,"$25,000 under $50,000",42
10527,"$50,000 under $75,000",38
10527,"$75,000 under $100,000",38
10527,"$100,000 under $200,000",102
10527,"$200,000 or more",92
,,
10528,,"5,836"
10528,"$1 under $25,000",1671
10528,"$25,000 under $50,000",1026
10528,"$50,000 under $75,000",768
10528,"$75,000 under $100,000",521
10528,"$100,000 under $200,000",917
10528,"$200,000 or more",933
,,
10530,,"7,008"
10530,"$1 under $25,000",1494
10530,"$25,000 under $50,000",1123
10530,"$50,000 under $75,000",1111
10530,"$75,000 under $100,000",886
10530,"$100,000 under $200,000",1596
10530,"$200,000 or more",798
,,
10532,,"2,594"
10532,"$1 under $25,000",680
10532,"$25,000 under $50,000",414
10532,"$50,000 under $75,000",365
10532,"$75,000 under $100,000",303
10532,"$100,000 under $200,000",641
10532,"$200,000 or more",191
,,
10533,,"3,750"
10533,"$1 under $25,000",907
10533,"$25,000 under $50,000",475
10533,"$50,000 under $75,000",389
10533,"$75,000 under $100,000",348
10533,"$100,000 under $200,000",742
10533,"$200,000 or more",889
,,
10535,,375
10535,"$1 under $25,000",128
10535,"$25,000 under $50,000",91
10535,"$50,000 under $75,000",52
10535,"$75,000 under $100,000",39
10535,"$100,000 under $200,000",65
10535,"$200,000 or more",**
,,
10536,,"5,045"
10536,"$1 under $25,000",1414
10536,"$25,000 under $50,000",576
10536,"$50,000 under $75,000",457
10536,"$75,000 under $100,000",376
10536,"$100,000 under $200,000",982
10536,"$200,000 or more",1240
,,
10537,,"1,202"
10537,"$1 under $25,000",380
10537,"$25,000 under $50,000",291
10537,"$50,000 under $75,000",159
10537,"$75,000 under $100,000",143
10537,"$100,000 under $200,000",205
10537,"$200,000 or more",24
,,
10538,,"8,055"
10538,"$1 under $25,000",1974
10538,"$25,000 under $50,000",822
10538,"$50,000 under $75,000",725
10538,"$75,000 under $100,000",557
10538,"$100,000 under $200,000",1396
10538,"$200,000 or more",2581
,,
10541,,"12,228"
10541,"$1 under $25,000",3563
10541,"$25,000 under $50,000",2142
10541,"$50,000 under $75,000",1555
10541,"$75,000 under $100,000",1370
10541,"$100,000 under $200,000",2858
10541,"$200,000 or more",740
,,
10543,,"9,581"
10543,"$1 under $25,000",2992
10543,"$25,000 under $50,000",1671
10543,"$50,000 under $75,000",1198
10543,"$75,000 under $100,000",852
10543,"$100,000 under $200,000",1587
10543,"$200,000 or more",1281
,,
10546,,749
10546,"$1 under $25,000",184
10546,"$25,000 under $50,000",93
10546,"$50,000 under $75,000",76
10546,"$75,000 under $100,000",65
10546,"$100,000 under $200,000",161
10546,"$200,000 or more",170
,,
10547,,"3,471"
10547,"$1 under $25,000",1071
10547,"$25,000 under $50,000",606
10547,"$50,000 under $75,000",471
10547,"$75,000 under $100,000",370
10547,"$100,000 under $200,000",775
10547,"$200,000 or more",178
,,
10548,,"1,533"
10548,"$1 under $25,000",476
10548,"$25,000 under $50,000",233
10548,"$50,000 under $75,000",223
10548,"$75,000 under $100,000",188
10548,"$100,000 under $200,000",337
10548,"$200,000 or more",76
,,
10549,,"7,949"
10549,"$1 under $25,000",2693
10549,"$25,000 under $50,000",1403
10549,"$50,000 under $75,000",796
10549,"$75,000 under $100,000",635
10549,"$100,000 under $200,000",1179
10549,"$200,000 or more",1243
,,
10550,,"17,956"
10550,"$1 under $25,000",8270
10550,"$25,000 under $50,000",5665
10550,"$50,000 under $75,000",2278
10550,"$75,000 under $100,000",1001
10550,"$100,000 under $200,000",707
10550,"$200,000 or more",35
,,
10552,,"10,475"
10552,"$1 under $25,000",3082
10552,"$25,000 under $50,000",2487
10552,"$50,000 under $75,000",1771
10552,"$75,000 under $100,000",1113
10552,"$100,000 under $200,000",1542
10552,"$200,000 or more",480
,,
10553,,"5,446"
10553,"$1 under $25,000",2086
10553,"$25,000 under $50,000",1561
10553,"$50,000 under $75,000",798
10553,"$75,000 under $100,000",470
10553,"$100,000 under $200,000",462
10553,"$200,000 or more",69
,,
10560,,"2,041"
10560,"$1 under $25,000",552
10560,"$25,000 under $50,000",292
10560,"$50,000 under $75,000",203
10560,"$75,000 under $100,000",183
10560,"$100,000 under $200,000",420
10560,"$200,000 or more",391
,,
10562,,"15,025"
10562,"$1 under $25,000",5084
